motor,harga_otr,dp,pct_dp,tenor,cicilan
REVO X,21175000.0,2200000.0,0.1039,12,2157000.0
REVO X,21175000.0,2200000.0,0.1039,18,1547000.0
REVO X,21175000.0,2200000.0,0.1039,24,1256000.0
REVO X,21175000.0,2200000.0,0.1039,30,1071000.0
REVO X,21175000.0,2200000.0,0.1039,36,976000.0
REVO X,21175000.0,2300000.0,0.1086,12,2147000.0
REVO X,21175000.0,2300000.0,0.1086,18,1540000.0
REVO X,21175000.0,2300000.0,0.1086,24,1250000.0
REVO X,21175000.0,2300000.0,0.1086,30,1066000.0
REVO X,21175000.0,2300000.0,0.1086,36,971000.0
REVO X,21175000.0,2400000.0,0.1133,12,2137000.0
REVO X,21175000.0,2400000.0,0.1133,18,1533000.0
REVO X,21175000.0,2400000.0,0.1133,24,1244000.0
REVO X,21175000.0,2400000.0,0.1133,30,1061000.0
REVO X,21175000.0,2400000.0,0.1133,36,966000.0
REVO X,21175000.0,2500000.0,0.1181,12,2127000.0
REVO X,21175000.0,2500000.0,0.1181,18,1526000.0
REVO X,21175000.0,2500000.0,0.1181,24,1238000.0
REVO X,21175000.0,2500000.0,0.1181,30,1056000.0
REVO X,21175000.0,2500000.0,0.1181,36,961000.0
REVO X,21175000.0,2600000.0,0.1228,12,2117000.0
REVO X,21175000.0,2600000.0,0.1228,18,1519000.0
REVO X,21175000.0,2600000.0,0.1228,24,1232000.0
REVO X,21175000.0,2600000.0,0.1228,30,1051000.0
REVO X,21175000.0,2600000.0,0.1228,36,956000.0
REVO X,21175000.0,2700000.0,0.1275,12,2107000.0
REVO X,21175000.0,2700000.0,0.1275,18,1512000.0
REVO X,21175000.0,2700000.0,0.1275,24,1226000.0
REVO X,21175000.0,2700000.0,0.1275,30,1046000.0
REVO X,21175000.0,2700000.0,0.1275,36,951000.0
REVO X,21175000.0,2800000.0,0.1322,12,2097000.0
REVO X,21175000.0,2800000.0,0.1322,18,1505000.0
REVO X,21175000.0,2800000.0,0.1322,24,1220000.0
REVO X,21175000.0,2800000.0,0.1322,30,1041000.0
REVO X,21175000.0,2800000.0,0.1322,36,946000.0
REVO X,21175000.0,2900000.0,0.137,12,2087000.0
REVO X,21175000.0,2900000.0,0.137,18,1498000.0
REVO X,21175000.0,2900000.0,0.137,24,1214000.0
REVO X,21175000.0,2900000.0,0.137,30,1036000.0
REVO X,21175000.0,2900000.0,0.137,36,941000.0
REVO X,21175000.0,3000000.0,0.1417,12,2077000.0
REVO X,21175000.0,3000000.0,0.1417,18,1491000.0
REVO X,21175000.0,3000000.0,0.1417,24,1208000.0
REVO X,21175000.0,3000000.0,0.1417,30,1031000.0
REVO X,21175000.0,3000000.0,0.1417,36,936000.0
REVO X,21175000.0,3100000.0,0.1464,12,2067000.0
REVO X,21175000.0,3100000.0,0.1464,18,1484000.0
REVO X,21175000.0,3100000.0,0.1464,24,1202000.0
REVO X,21175000.0,3100000.0,0.1464,30,1026000.0
REVO X,21175000.0,3100000.0,0.1464,36,931000.0
REVO X,21175000.0,3200000.0,0.1511,12,2057000.0
REVO X,21175000.0,3200000.0,0.1511,18,1477000.0
REVO X,21175000.0,3200000.0,0.1511,24,1196000.0
